Case Name,Filing Year,Description,Case Categories,Principal Laws
Coalition of Concerned Citizens v. New York State Board on Electrical Generation Siting &amp; the Environment,2020,Challenge to authorization for onshore wind-powered electric generating facilities in Western New York.,State Law Claims>Utility Regulation,State Law—Miscellaneous Statutes>New York Public Service Law Article 10
In re Alto Maipo Delaware LLC,2021,"Bankruptcy proceeding filed by company constructing a run-of-river hydroelectric project in Chile, citing significant impacts of climate change on amount of power that can be produced.",Adaptation>Other Types of Adaptation Cases,Bankruptcy Code
Clark v. Haaland,2021,Lawsuit seeking seeking declarations regarding the application of federal law to certain reclamation and irrigation projects.,Adaptation>Actions seeking adaptation measures,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|First Amendment|Fifth Amendment—Due Process|Fifth Amendment—Equal Protection|Fourteenth Amendment|Supremacy Clause|Compact Clause|Fourteenth Amendment—Equal Protection|Fourteenth Amendment—Due Process|Reclamation Act of 1902|Colorado River Storage Act|Navajo Indian Irrigation Project Act|Omnibus Public Land Management Act of 2009|McCarran Amendment|Colorado River Compact of 1922|Upper Basin Compact of 1948
Defenders of Wildlife v. U.S. Forest Service,2021,"Challenge to the U.S. Forest Service’s authorization of the Rio Grande National Forest Land Management Plan and associated actions, focused on impacts to Canada lynx habitat.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
San Luis Valley Ecosystem Council v. Dallas,2021,Lawsuit challenging the U.S. Forest Service’s authorization of the Rio Grande National Forest Land Management Plan and associated actions.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Administrative Procedure Act (APA)
Alaska Industrial Development &amp; Export Authority v. Biden,2021,Action to compel the Biden administration to carry out oil and gas leasing on the Coastal Plain of the Arctic National Wildlife Refuge (ANWR) on Alaska’s North Slope.,Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)|Alaska National Interest Lands Conservation Act|Tax Cuts and Jobs Act of 2017
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Lawsuit alleging that the U.S. Fish and Wildlife Service failed to make timely determinations on whether two small fish with habitat in California warranted protection under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Wildlands Defense v. Brummett,2021,"Lawsuit challenging the U.S. Forest Service’s approval of the Sage Hen Integrated Restoration Project in the Boise National Forest, including for failure to consider climate change impacts on bull trout.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)
Energy Policy Advocates v. U.S. Department of State,2021,Freedom of Information Act lawsuit seeking to compel disclosure of records related to the ethics clearance and recusal process for Special Presidential Envoy for Climate Change John Kerry.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
NECEC Transmission LLC v. Bureau of Parks &amp; Lands,2021,"Lawsuit challenging Maine law banning completion and operation of the New England Clean Energy Connection transmission line corridor, which would transport electricity from Canadian hydropower facilities into Maine and the New England electric grid.",State Law Claims>Other Types of State Law Cases|Constitutional Claims>Other Constitutional Claims,Separation of Powers Doctrine|Contracts Clause|Vested Rights Doctrine|State Constitutions>Maine Constitution
Stinson LLP v. University of Minnesota,2021,Lawsuit to compel disclosure of University of Minnesota data allegedly related to the University's contributions to public debate about climate change and involvement in developing theories for attorney general's lawsuit against fossil fuel entities.,State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>Minnesota Government Data Practices Act
Community Members for Environmental Justice v. City of Minneapolis,2021,Lawsuit challenging the environmental review for redevelopment of the Upper Harbor Terminal on the west bank of the Mississippi River in Minneapolis.,Adaptation>Reverse Impact Assessment|State Law Claims>State Impact Assessment Laws,Minnesota Environmental Policy Act
O’Neil v. Steele,2019,Lawsuit asserting that U.S. Forest Service failed to consider the albedo effect when developing a management plan.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Administrative Procedure Act (APA)
Save Civita Because Sudberry Won’t v. City of San Diego,2017,Challenge to roadway project in the City of San Diego.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Heating, Air-Conditioning, &amp; Refrigeration Distributors International v. EPA",2021,Challenges to EPA's final rule on “Phasedown of Hydrofluorocarbons: Establishing the Allowance Allocation and Trading Program under the American Innovation and Manufacturing Act.”,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,Clean Air Act (CAA)|American Innovation and Manufacturing Act (AIM Act)
Idaho Conservation League v. U.S. Forest Service,2021,Lawsuit challenging federal approvals of the Sage Hen Integrated Restoration Project in the Boise National Forest.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Administrative Procedure Act (APA)
Northwest Environmental Advocates v. EPA,2021,Lawsuit asserting that EPA had failed to fulfill mandatory obligations to develop total maximum daily loads (TMDLs) for the Puget Sound.,Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)
Advocates for a Cleaner Tacoma v. Puget Sound Clean Air Agency,2021,Challenge to Washington Pollution Control Hearings Board decisions affirming approvals for a liquefied natural gas facility.,State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,Washington State Environmental Policy Act|State Law—Miscellaneous Statutes>Washington Administrative Procedure Act
"Government Accountability &amp; Oversight, P.C. v. Regents of the University of California",2020,Lawsuit asserting that the University of California failed to comply with the California Public Records Act in response to requests for law professors' correspondence with the Massachusetts attorney general's office and certain donors.,State Law Claims>Freedom of Information/Public Records,State Constitutions>California Constitution|State Law—Miscellaneous Statutes>California Public Records Act
Save Our Illinois Land v. Illinois Commerce Commission,2021,Challenge to the Illinois Commerce Commission's approval of three new pumping stations on the Dakota Access Pipeline to increase the pipeline's throughput.,State Law Claims>Utility Regulation,Pipeline Safety Act|State Law—Miscellaneous Statutes>Illinois Public Utilities Act|Pipeline Safety Improvement Act of 2002|Interstate Commerce Act
Responsible Offshore Development Alliance v. U.S. Department of the Interior,2022,Challenge to Bureau of Ocean Energy Management approvals for the Vineyard Wind offshore wind project off the coasts of Massachusetts and Rhode Island.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)|Clean Water Act (CWA)|Outer Continental Shelf Lands Act (OCSLA)|Merchant Marine Act of 1920/Jones Act
"Danskammer Energy, LLC v. New York State Department of Environmental Conservation",2021,"Natural gas-fired power plant operator's challenge to denial of Title V air permit application for a new, more efficient electricity generating plant.",State Law Claims>Industry Lawsuits,Clean Air Act (CAA)|State Constitutions>New York Constitution|State Law—Miscellaneous Statutes>New York Climate Leadership and Community Protection Act|State Law—Miscellaneous Statutes>New York State Administrative Procedure Act|State Law—Miscellaneous Statutes>New York Public Service Law Article 10
Center for Biological Diversity v. Haaland,2022,Challenge to the alleged failure of federal agencies to comply with the Endangered Species Act and Administrative Procedure Act in connection with the authorization and management of offshore oil and gas activities in federal waters off California.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Schilling v. Pelosi,2022,Radio host's lawsuit to compel release of congressional records related to the House Oversight and Reform Committee’s investigation into alleged climate change misinformation campaign involving fossil fuel companies.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Common Law Right of Public Access|House of Representative Rules|2 U.S.C. Ch. 43 (Congressional Committees)
